endpoint,mode,metric,sigma,beta,bnn,null,delta
ndcg,nearest,per_position_top5_recovery_mean,epi_ale,1.0,0.49666666666666676,0.7133333333333334,-0.21666666666666662
ndcg,nearest,per_position_top5_recovery_mean,epi_only,0.5,0.49666666666666676,0.7133333333333334,-0.21666666666666662
ndcg,avg_all,per_position_top5_recovery_mean,total,1.0,0.5433333333333333,0.6133333333333332,-0.06999999999999984
ndcg,avg_all,per_position_top5_recovery_mean,epi_ale,0.0,0.52,0.6133333333333332,-0.09333333333333316
ndcg,avg_all,per_position_top5_recovery_mean,epi_only,0.0,0.5366666666666667,0.6133333333333332,-0.07666666666666644
ndcg,distance_weighted,per_position_top5_recovery_mean,total,1.0,0.55,0.61,-0.05999999999999994
ndcg,distance_weighted,per_position_top5_recovery_mean,epi_ale,0.0,0.52,0.61,-0.08999999999999997
ndcg,distance_weighted,per_position_top5_recovery_mean,epi_only,1.0,0.53,0.61,-0.07999999999999996
spearman_rho,formaldehyde,spearman_rho,total,0.0,0.6116830694421174,0.6268784620088229,-0.015195392566705546
spearman_rho,formaldehyde,spearman_rho,epi_ale,0.0,0.5909027867130117,0.6268784620088229,-0.03597567529581125
spearman_rho,formaldehyde,spearman_rho,epi_only,0.0,0.6262753387175228,0.6268784620088229,-0.0006031232913000784
spearman_rho,nearest,spearman_rho,total,0.0,0.5192905954186936,0.8213062697459093,-0.30201567432721566
spearman_rho,nearest,spearman_rho,epi_ale,1.0,0.7159270148075744,0.8213062697459093,-0.10537925493833489
spearman_rho,nearest,spearman_rho,epi_only,0.0,0.6899621404780284,0.8213062697459093,-0.13134412926788086
spearman_rho,avg_all,spearman_rho,total,2.0,0.5282205092803187,0.7195696213082767,-0.191349112027958
spearman_rho,avg_all,spearman_rho,epi_ale,0.0,0.7166990772483084,0.7195696213082767,-0.0028705440599683385
spearman_rho,avg_all,spearman_rho,epi_only,1.0,0.7183948593438484,0.7195696213082767,-0.0011747619644283391
spearman_rho,distance_weighted,spearman_rho,total,2.0,0.5282022013585196,0.7198627979264548,-0.19166059656793522
spearman_rho,distance_weighted,spearman_rho,epi_ale,0.0,0.7182774455181137,0.7198627979264548,-0.001585352408341123
spearman_rho,distance_weighted,spearman_rho,epi_only,0.5,0.718695693446138,0.7198627979264548,-0.0011671044803167607
spearman_rho,formaldehyde,ndcg,total,0.0,0.9045262312559306,0.9059871880312036,-0.0014609567752730257
spearman_rho,formaldehyde,ndcg,epi_ale,0.0,0.8057025690606162,0.9059871880312036,-0.10028461897058738
spearman_rho,formaldehyde,ndcg,epi_only,0.0,0.9059519825438975,0.9059871880312036,-3.5205487306066985e-05
spearman_rho,nearest,ndcg,total,0.0,0.7903440636840866,0.8063717547222073,-0.01602769103812074
spearman_rho,nearest,ndcg,epi_ale,1.0,0.9304246403880482,0.8063717547222073,0.12405288566584083
spearman_rho,nearest,ndcg,epi_only,0.0,0.7806369093070273,0.8063717547222073,-0.025734845415180008
spearman_rho,avg_all,ndcg,total,2.0,0.9163374193842361,0.9427119798414071,-0.026374560457171015
spearman_rho,avg_all,ndcg,epi_ale,0.0,0.9197107480931569,0.9427119798414071,-0.023001231748250195
spearman_rho,avg_all,ndcg,epi_only,1.0,0.942835436839906,0.9427119798414071,0.00012345699849891645
spearman_rho,distance_weighted,ndcg,total,2.0,0.9137257003275261,0.9425646397228137,-0.02883893939528759
spearman_rho,distance_weighted,ndcg,epi_ale,0.0,0.9191980240273652,0.9425646397228137,-0.02336661569544851
spearman_rho,distance_weighted,ndcg,epi_only,0.5,0.9427431810220704,0.9425646397228137,0.00017854129925676254
spearman_rho,formaldehyde,top1_recovery,total,0.0,0.4,0.4,0.0
spearman_rho,formaldehyde,top1_recovery,epi_ale,0.0,0.2,0.4,-0.2
spearman_rho,formaldehyde,top1_recovery,epi_only,0.0,0.4,0.4,0.0
